,datetime,counttrips,meanduration,modestartstationid,modestartstationname,modestartstationlatitude,modestartstationlongitude,modeendstationid,modeendstationname,modeendstationlatitude,modeendstationlongitude,usertypevalues,gendervalues
54,2017-12,889967,764.9971616925122,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    855573
Customer       34394
Name: usertype, dtype: int64","1    651548
2    194802
0     43617
Name: gender, dtype: int64"
55,2018-01,718994,826.8106548872453,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    696886
Customer       22108
Name: usertype, dtype: int64","1    537589
2    151806
0     29599
Name: gender, dtype: int64"
56,2018-02,843114,877.3977908088349,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    809756
Customer       33358
Name: usertype, dtype: int64","1    621749
2    181266
0     40099
Name: gender, dtype: int64"
57,2018-03,976672,881.9937205121064,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    917637
Customer       59035
Name: usertype, dtype: int64","1    702533
2    212687
0     61452
Name: gender, dtype: int64"
58,2018-04,1307543,970.9073223595706,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1158232
Customer       149311
Name: usertype, dtype: int64","1    890184
2    293830
0    123529
Name: gender, dtype: int64"
59,2018-05,1824710,1121.9141737591178,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1582116
Customer       242594
Name: usertype, dtype: int64","1    1203816
2     421304
0     199590
Name: gender, dtype: int64"
60,2018-06,1953103,1211.3195796637453,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    426
Name: endstationid, dtype: int64","0    West St & Chambers St
Name: endstationname, dtype: object","0    40.717548
Name: endstationlatitude, dtype: float64","0   -74.013221
Name: endstationlongitude, dtype: float64","Subscriber    1694788
Customer       258315
Name: usertype, dtype: int64","1    1281908
2     469544
0     201651
Name: gender, dtype: int64"
61,2018-07,1913625,1074.5440323992423,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1628746
Customer       284879
Name: usertype, dtype: int64","1    1242546
2     460279
0     210800
Name: gender, dtype: int64"
62,2018-08,1977177,1012.0013301793416,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1703456
Customer       273721
Name: usertype, dtype: int64","1    1296312
2     475485
0     205380
Name: gender, dtype: int64"
63,2018-09,1877884,967.5149189193795,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1616731
Customer       261153
Name: usertype, dtype: int64","1    1240964
2     463433
0     173487
Name: gender, dtype: int64"
64,2018-10,1878657,900.1482793293294,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1686256
Customer       192401
Name: usertype, dtype: int64","1    1304230
2     448785
0     125642
Name: gender, dtype: int64"
65,2018-11,1260355,849.6638558184004,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1164813
Customer        95542
Name: usertype, dtype: int64","1    902869
2    290368
0     67118
Name: gender, dtype: int64"
66,2018-12,1016505,823.0674487582452,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    955408
Customer       61097
Name: usertype, dtype: int64","1    746622
2    223675
0     46208
Name: gender, dtype: int64"
67,2019-01,967287,775.8408765960878,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    927114
Customer       40173
Name: usertype, dtype: int64","1    727130
2    206028
0     34129
Name: gender, dtype: int64"
68,2019-02,943744,804.7733230621864,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    897393
Customer       46351
Name: usertype, dtype: int64","1    703464
2    203512
0     36768
Name: gender, dtype: int64"
69,2019-03,1327960,882.657665893551,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1221302
Customer       106658
Name: usertype, dtype: int64","1    962603
2    293780
0     71577
Name: gender, dtype: int64"
70,2019-04,1766094,1059.341500509033,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1536661
Customer       229433
Name: usertype, dtype: int64","1    1218551
2     409285
0     138258
Name: gender, dtype: int64"
71,2019-05,1924563,1067.189136962521,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1629997
Customer       294566
Name: usertype, dtype: int64","1    1293779
2     462613
0     168171
Name: gender, dtype: int64"
72,2019-06,2125370,1109.3588758663197,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1752526
Customer       372844
Name: usertype, dtype: int64","1    1399108
2     527577
0     198685
Name: gender, dtype: int64"
73,2019-07,2181064,1035.3597280960118,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1803055
Customer       378009
Name: usertype, dtype: int64","1    1441107
2     543928
0     196029
Name: gender, dtype: int64"
74,2019-08,2344224,1050.1729045517834,"0    519.0
Name: startstationid, dtype: float64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519.0
Name: endstationid, dtype: float64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1900359
Customer       443865
Name: usertype, dtype: int64","1    1530272
2     588431
0     225521
Name: gender, dtype: int64"
75,2019-09,2444900,1012.1121559163975,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    2010493
Customer       434407
Name: usertype, dtype: int64","1    1612056
2     626859
0     205985
Name: gender, dtype: int64"
76,2019-10,2092573,914.5827189780236,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1796820
Customer       295753
Name: usertype, dtype: int64","1    1425934
2     512899
0     153740
Name: gender, dtype: int64"
77,2019-11,1478708,837.1807476526806,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1326216
Customer       152492
Name: usertype, dtype: int64","1    1042505
2     351188
0      85015
Name: gender, dtype: int64"
78,2019-12,955210,830.8396834203998,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    877585
Customer       77625
Name: usertype, dtype: int64","1    695884
2    212896
0     46430
Name: gender, dtype: int64"
79,2020-01,1240596,784.6299069157083,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1145819
Customer        94777
Name: usertype, dtype: int64","1    904522
2    279106
0     56968
Name: gender, dtype: int64"
80,2020-02,1146830,792.0749919342884,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    1054927
Customer        91903
Name: usertype, dtype: int64","1    833076
2    257077
0     56677
Name: gender, dtype: int64"
81,2020-03,1068457,1160.832886115211,"0    519
Name: startstationid, dtype: int64","0    Pershing Square North
Name: startstationname, dtype: object","0    40.751873
Name: startstationlatitude, dtype: float64","0   -73.977706
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square North
Name: endstationname, dtype: object","0    40.751873
Name: endstationlatitude, dtype: float64","0   -73.977706
Name: endstationlongitude, dtype: float64","Subscriber    914068
Customer      154389
Name: usertype, dtype: int64","1    722979
2    263862
0     81616
Name: gender, dtype: int64"
82,2020-04,682762,1613.0203013641649,"0    3141
Name: startstationid, dtype: int64","0    1 Ave & E 68 St
Name: startstationname, dtype: object","0    40.765005
Name: startstationlatitude, dtype: float64","0   -73.958185
Name: startstationlongitude, dtype: float64","0    426
Name: endstationid, dtype: int64","0    West St & Chambers St
Name: endstationname, dtype: object","0    40.717548
Name: endstationlatitude, dtype: float64","0   -74.013221
Name: endstationlongitude, dtype: float64","Subscriber    516495
Customer      166267
Name: usertype, dtype: int64","1    412624
2    191812
0     78326
Name: gender, dtype: int64"
83,2020-05,1487890,1631.9154124296822,"0    514
Name: startstationid, dtype: int64","0    12 Ave & W 40 St
Name: startstationname, dtype: object","0    40.760875
Name: startstationlatitude, dtype: float64","0   -74.002777
Name: startstationlongitude, dtype: float64","0    514
Name: endstationid, dtype: int64","0    12 Ave & W 40 St
Name: endstationname, dtype: object","0    40.760875
Name: endstationlatitude, dtype: float64","0   -74.002777
Name: endstationlongitude, dtype: float64","Subscriber    1012059
Customer       475831
Name: usertype, dtype: int64","1    817093
2    460580
0    210217
Name: gender, dtype: int64"
84,2020-06,1882273,1639.0907588856664,"0    514
Name: startstationid, dtype: int64","0    12 Ave & W 40 St
Name: startstationname, dtype: object","0    40.760875
Name: startstationlatitude, dtype: float64","0   -74.002777
Name: startstationlongitude, dtype: float64","0    514
Name: endstationid, dtype: int64","0    12 Ave & W 40 St
Name: endstationname, dtype: object","0    40.760875
Name: endstationlatitude, dtype: float64","0   -74.002777
Name: endstationlongitude, dtype: float64","Subscriber    1306688
Customer       575585
Name: usertype, dtype: int64","1    1044621
2     586361
0     251291
Name: gender, dtype: int64"
85,2020-07,2105808,1587.4401987265696,"0    514
Name: startstationid, dtype: int64","0    12 Ave & W 40 St
Name: startstationname, dtype: object","0    40.760875
Name: startstationlatitude, dtype: float64","0   -74.002777
Name: startstationlongitude, dtype: float64","0    514
Name: endstationid, dtype: int64","0    12 Ave & W 40 St
Name: endstationname, dtype: object","0    40.760875
Name: endstationlatitude, dtype: float64","0   -74.002777
Name: endstationlongitude, dtype: float64","Subscriber    1530982
Customer       574826
Name: usertype, dtype: int64","1    1199865
2     633377
0     272566
Name: gender, dtype: int64"
86,2020-08,2329514,1399.6322323025317,"0    514
Name: startstationid, dtype: int64","0    12 Ave & W 40 St
Name: startstationname, dtype: object","0    40.760875
Name: startstationlatitude, dtype: float64","0   -74.002777
Name: startstationlongitude, dtype: float64","0    514
Name: endstationid, dtype: int64","0    12 Ave & W 40 St
Name: endstationname, dtype: object","0    40.760875
Name: endstationlatitude, dtype: float64","0   -74.002777
Name: endstationlongitude, dtype: float64","Subscriber    1671914
Customer       657600
Name: usertype, dtype: int64","1    1330772
2     690802
0     307940
Name: gender, dtype: int64"
87,2020-09,2488225,1366.7162881170311,"0    435
Name: startstationid, dtype: int64","0    W 21 St & 6 Ave
Name: startstationname, dtype: object","0    40.74174
Name: startstationlatitude, dtype: float64","0   -73.994156
Name: startstationlongitude, dtype: float64","0    435
Name: endstationid, dtype: int64","0    W 21 St & 6 Ave
Name: endstationname, dtype: object","0    40.74174
Name: endstationlatitude, dtype: float64","0   -73.994156
Name: endstationlongitude, dtype: float64","Subscriber    1817674
Customer       670551
Name: usertype, dtype: int64","1    1436049
2     746443
0     305733
Name: gender, dtype: int64"
88,2020-10,2248869,1213.0519727916567,"0    3141
Name: startstationid, dtype: int64","0    1 Ave & E 68 St
Name: startstationname, dtype: object","0    40.765005
Name: startstationlatitude, dtype: float64","0   -73.958185
Name: startstationlongitude, dtype: float64","0    435
Name: endstationid, dtype: int64","0    W 21 St & 6 Ave
Name: endstationname, dtype: object","0    40.74174
Name: endstationlatitude, dtype: float64","0   -73.994156
Name: endstationlongitude, dtype: float64","Subscriber    1702115
Customer       546754
Name: usertype, dtype: int64","1    1335176
2     654838
0     258855
Name: gender, dtype: int64"
89,2020-11,1736704,1150.9611810648216,"0    3141
Name: startstationid, dtype: int64","0    1 Ave & E 68 St
Name: startstationname, dtype: object","0    40.765005
Name: startstationlatitude, dtype: float64","0   -73.958185
Name: startstationlongitude, dtype: float64","0    3141
Name: endstationid, dtype: int64","0    1 Ave & E 68 St
Name: endstationname, dtype: object","0    40.765005
Name: endstationlatitude, dtype: float64","0   -73.958185
Name: endstationlongitude, dtype: float64","Subscriber    1362408
Customer       374296
Name: usertype, dtype: int64","1    1057855
2     496999
0     181850
Name: gender, dtype: int64"
90,2020-12,1088929,1012.4023219144683,"0    3141
Name: startstationid, dtype: int64","0    1 Ave & E 68 St
Name: startstationname, dtype: object","0    40.765005
Name: startstationlatitude, dtype: float64","0   -73.958185
Name: startstationlongitude, dtype: float64","0    3141
Name: endstationid, dtype: int64","0    1 Ave & E 68 St
Name: endstationname, dtype: object","0    40.765005
Name: endstationlatitude, dtype: float64","0   -73.958185
Name: endstationlongitude, dtype: float64","Subscriber    920617
Customer      168312
Name: usertype, dtype: int64","1    703775
2    290616
0     94538
Name: gender, dtype: int64"
91,2021-01,1095346,933.937678140058,"0    3141
Name: startstationid, dtype: int64","0    1 Ave & E 68 St
Name: startstationname, dtype: object","0    40.765005
Name: startstationlatitude, dtype: float64","0   -73.958185
Name: startstationlongitude, dtype: float64","0    3141
Name: endstationid, dtype: int64","0    1 Ave & E 68 St
Name: endstationname, dtype: object","0    40.765005
Name: endstationlatitude, dtype: float64","0   -73.958185
Name: endstationlongitude, dtype: float64","Subscriber    945169
Customer      150177
Name: usertype, dtype: int64","1    714609
2    289850
0     90887
Name: gender, dtype: int64"
